Part number,Distributor,Unit Quantity,Unit Price (USD),Link
Raspberry Pi 3B,Adafruit,1,35.00,https://www.adafruit.com/product/3055
GSM/GPRS/GNSS HAT (3B Hat),Waveshare,1,64.99,"https://www.waveshare.com/sim7600ce-4g-hat.htm
"
SIM Card,Xcape Inc.,1,Consult with website,"https://xcapeinc.com/m2mdata.html
"
